date,tab,row,type,platforms,status,has_image,purpose
2026-09-17,September Content Calendar,19,Alumni Story Clip,FB IG LI YT,FB=box IG=box LI=publer YT=box,True,
2026-09-19,September Content Calendar,20,Alumni Story Clip,FB IG LI YT,FB=box IG=box LI=publer YT=box,True,
2026-09-22,September Content Calendar,21,Did You Know? Card,FB IG LI,FB=box IG=box LI=publer,False,
2026-09-24,September Content Calendar,22,Behind the Scenes Card,FB IG LI,FB=postiz IG=postiz LI=publer,False,
2026-09-25,September Content Calendar,23,Food Friday,FB IG YT,FB=postiz IG=postiz YT=postiz,False,
2026-09-29,September Content Calendar,24,Recipe Video,LI,LI=publer,False,
2026-09-30,September Content Calendar,25,Alumni Story Clip,FB IG LI YT,FB=box IG=box LI=publer YT=box,False,
2026-09-28,September Content Calendar,26,Education: What a craving is trying to say,FB IG,FB=missing IG=missing,True,"A craving as information, not a failure. Mindful Eating and Coping Skills from the Behavioral Therapy & Counseling pillar, in plain words."
2026-09-29,September Content Calendar,27,Alumni Story Clip,FB IG YT,FB=missing IG=missing YT=missing,True,"Finished 9:16 clip testimonial-carmen-clip-nomusic-9x16_belonging_FINAL.mp4 (Carmen M., BCC Alumna). LinkedIn takes the same 9:16 file the next morning. Cover card and the BCC end card are already on the file; no further"
2026-10-01,October Content Calendar,9,Education: Sleep and Appetite,FB IG LI GBP,FB=missing IG=missing LI=missing GBP=missing,True,"Turn the sleep article (high search impressions, no clicks) into native content on every platform. Search phrase: does poor sleep increase appetite."
2026-10-02,October Content Calendar,10,Food Friday: Dish of the Week,FB IG YT,FB=postiz IG=postiz YT=postiz,True,"Dish of the week from BCC's own teaching kitchen footage, plus the one technique worth keeping. Kitchen content is BCC's best performing material on Instagram by a wide margin."
2026-10-05,October Content Calendar,11,Education: Food and Mood,FB IG,FB=missing IG=missing,True,"Mental Illness Awareness Week (Oct 4 to 10). Positions eating as a mental health subject, which is BCC's whole premise, and lands the four pillars in Todd's written form."
2026-10-06,October Content Calendar,12,HOLD: Video Clip Slots,FB IG LI YT,FB=hold IG=hold LI=hold YT=hold,False,"Held for finished clips: Tue 10/6 and Thu 10/8. Nothing else is scheduled on FB or IG on these days, so a clip drops in without moving a post."
2026-10-06,October Content Calendar,13,Referring Providers: Document Post,LI GBP,LI=missing GBP=missing,True,"LinkedIn: what a referring provider gets back. Document (PDF) posts are LinkedIn's strongest format and need no link. GBP: statewide virtual access, written to the search phrase."
2026-10-07,October Content Calendar,14,Staff Spotlight,FB IG ALUMNI,FB=missing IG=missing ALUMNI=manual,True,"Staff spotlights are BCC's best performing still posts (the June and July spotlights out-reached every card since). Leloni Gonzales is the first person a new client speaks to, which also answers 'what happens when I call"
2026-10-08,October Content Calendar,15,Referring Providers: People Post,LI,LI=missing,True,"LinkedIn version of the spotlight, written for the people who send patients: who picks up the referral and how fast."
2026-10-09,October Content Calendar,16,Food Friday: Dish of the Week,FB IG YT,FB=postiz IG=postiz YT=postiz,True,"Dish of the week, with a technique that is really a portion-control idea in disguise. Serving style, not restriction."
2026-10-10,October Content Calendar,17,Observance: World Mental Health Day,FB IG,FB=missing IG=missing,True,"World Mental Health Day. One quiet post, no sell. Saturday morning is one of the few weekend windows that holds up for healthcare accounts."
2026-10-12,October Content Calendar,18,Alumni Words: Written Testimonial,FB IG,FB=missing IG=missing,True,"Peer support week (Global Peer Support Celebration Day is Thu 10/15). A written alumni testimonial already published on BCC's site, so no new release is needed and no video is involved."
2026-10-13,October Content Calendar,19,HOLD: Video Clip Slots,FB IG LI YT,FB=hold IG=hold LI=hold YT=hold,False,Held for finished clips: Tue 10/13 and Thu 10/15.
2026-10-13,October Content Calendar,20,Referring Providers: Document Post,LI GBP,LI=missing GBP=missing,True,"LinkedIn: referral fit in one glance, in Todd's words. GBP: binge eating disorder treatment, written to the search phrase."
2026-10-14,October Content Calendar,21,Staff Spotlight,FB IG,FB=missing IG=missing,True,"Second spotlight of the month, two days before World Food Day. Chef Leila is already the most recognized face on the accounts; this is the first time she is introduced as a person and not only a pair of hands."
2026-10-15,October Content Calendar,22,Professionals: Peer Support,LI,LI=missing,True,"Global Peer Support Celebration Day. Written for working professionals as prospective clients, per the standing note that LinkedIn education should speak to professionals."
2026-10-16,October Content Calendar,23,Food Friday: Dish of the Week,FB IG,FB=missing IG=missing,True,"World Food Day falls on Food Friday. Dish of the week, with the technique that makes the rest of the week easier."
2026-10-19,October Content Calendar,24,Education: Holiday Season Planning,FB IG ALUMNI,FB=missing IG=missing ALUMNI=manual,True,"Public version of the theme Sara set for the October alumni event: do not fall for 'I'll start over in January'. Two weeks ahead of Halloween, which is when the season really starts."
2026-10-20,October Content Calendar,25,HOLD: Video Clip Slots,FB IG LI YT,FB=hold IG=hold LI=hold YT=hold,False,Held for finished clips: Tue 10/20 and Thu 10/22.
2026-10-20,October Content Calendar,26,Referring Providers: Document Post,LI GBP,LI=missing GBP=missing,True,"The claim BCC can make and the large eating disorder chains cannot: behavioral treatment alongside weight loss medication. 'Weight loss medications' only, never the drug class abbreviation."
2026-10-21,October Content Calendar,27,Did You Know? The Four Pillars,FB IG ALUMNI,FB=missing IG=missing ALUMNI=manual,True,"What is actually inside the program, in the rack card's exact words. A carousel gives each pillar its own slide, which a single card never could."
2026-10-22,October Content Calendar,28,Professionals: Holiday Season,LI,LI=missing,True,Holiday theme for working professionals: Q4 workload plus the holiday calendar is when 'I'll deal with it in January' takes hold.
2026-10-23,October Content Calendar,29,Food Friday: Dish of the Week,FB IG,FB=missing IG=missing,True,"Dish of the week. Comfort food done properly, the week before Halloween, with a technique that makes the plate taste like more than it is."
2026-10-26,October Content Calendar,30,Did You Know? Coverage,FB IG,FB=missing IG=missing,True,"Coverage, timed to open enrollment season. Coverage framing, not cost framing, in Todd's approved sentences. No accreditation line."
2026-10-27,October Content Calendar,31,HOLD: Video Clip Slots,FB IG LI YT,FB=hold IG=hold LI=hold YT=hold,False,Held for finished clips: Tue 10/27 and Thu 10/29.
2026-10-27,October Content Calendar,32,Referring Providers: Document Post,LI GBP,LI=missing GBP=missing,True,The referral objection that is not clinical: coverage. GBP carries the same subject written to the search phrase.
2026-10-28,October Content Calendar,33,Education: Halloween Week,FB IG,FB=missing IG=missing,True,"Anti-shame message for Halloween week. Deliberately no numbers, no rules and no 'good food, bad food', which keeps it inside Meta's sensitive content limits too."
2026-10-29,October Content Calendar,34,Professionals: Halloween Week,LI,LI=missing,True,Same subject for a workplace audience: the office candy bowl.
2026-10-30,October Content Calendar,35,Food Friday: Month in the Kitchen,FB IG,FB=missing IG=missing,True,Month end recap built on a written alumni testimonial about the kitchen. Needs photos from October's classes.
